iter,buffer,avg_steps,loss,policy_loss,value_loss,win_rate
1,441,73.50,4.2769,3.2762,1.0007,0.667
2,877,72.67,3.8423,2.8359,1.0064,0.833
3,1287,68.33,3.6347,2.6312,1.0035,0.833
4,1711,70.67,3.5237,2.5227,1.0010,0.667
5,2149,73.00,3.4514,2.4467,1.0047,0.833
1,426,71.00,4.2986,3.2948,1.0038,0.667
2,851,70.83,3.8704,2.8636,1.0068,0.000
3,1283,72.00,3.6850,2.6798,1.0052,0.500
4,1691,68.00,3.5496,2.5379,1.0117,0.333
5,2106,69.17,3.4494,2.4513,0.9981,0.500
6,423,70.50,3.1940,2.1856,1.0083,0.667
7,857,72.33,3.0944,2.0860,1.0084,0.833
8,1268,68.50,2.9917,1.9906,1.0011,0.667
9,1689,70.17,2.9802,1.9805,0.9997,0.500
10,2121,72.00,2.9182,1.9173,1.0009,0.833
11,572,71.50,3.2692,2.2721,0.9971,0.820
12,1138,70.75,3.1593,2.1694,0.9899,0.540
13,1702,70.50,3.1488,2.1631,0.9857,0.500
14,2267,70.62,3.1631,2.1798,0.9833,0.580
15,2843,72.00,3.1418,2.1623,0.9795,0.420
16,3418,71.88,3.1378,2.1641,0.9737,0.340
17,3993,71.88,3.1272,2.1592,0.9680,0.420
1,536,67.00,4.1540,3.1729,0.9811,0.860
